                               1                                2                                3                                4                                5                                6                                7                                8 
                  version_number                 initial_don_mass                 initial_acc_mass              initial_period_days                         compiler                            build                 MESA_SDK_version                             date 
                      "r24.08.1"          1.5000000000000002E+001          1.0000000000000000E+001          1.0000000000000000E+001                       "gfortran"                         "13.3.0"            "x86_64-linux-24.7.1"                       "20240913" 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31 
                    model_number                              age                      period_days                binary_separation                          v_orb_1                          v_orb_2                             rl_1                             rl_2           rl_relative_overflow_1           rl_relative_overflow_2                      star_1_mass                      star_2_mass                lg_mtransfer_rate                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2              fixed_xfer_fraction                eff_xfer_fraction                            J_orb                             Jdot                          jdot_mb                          jdot_gr                          jdot_ml                          jdot_ls                jdot_missing_wind                       extra_jdot                      donor_index                 point_mass_index 
                               5          8.5396127019665516E+002          9.9999999924869538E+000          5.7115124358666606E+001          1.1558440657659250E+002          1.7337660986488879E+002          2.3671503003169484E+001          1.9671088953861510E+001         -7.9292211397485657E-001         -1.0000000000000000E+000          1.5000000000000002E+001          1.0000000000000000E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          1.3698390646781083E+054         -1.2729743582741797E+034          0.0000000000000000E+000         -1.2729743582741797E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              10          2.9788901780523956E+003          9.9999999737922032E+000          5.7115124287483063E+001          1.1558440664861990E+002          1.7337660997292986E+002          2.3671502973667298E+001          1.9671088929345107E+001         -7.9286836004286587E-001         -1.0000000000000000E+000          1.5000000000000002E+001          1.0000000000000000E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          1.3698390638244815E+054         -1.2729743629015572E+034          0.0000000000000000E+000         -1.2729743629015572E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              15          8.2663932780479881E+003          9.9999999272736719E+000          5.7115124110355623E+001          1.1558440682784712E+002          1.7337661024177072E+002          2.3671502900256399E+001          1.9671088868340433E+001         -7.9278087571095457E-001         -1.0000000000000000E+000          1.5000000000000002E+001          1.0000000000000000E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          1.3698390617003849E+054         -1.2729743744159561E+034          0.0000000000000000E+000         -1.2729743744159561E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              20          2.1423392991829023E+004          9.9999998115206861E+000          5.7115123669605879E+001          1.1558440727382180E+002          1.7337661091073272E+002          2.3671502717586584E+001          1.9671088716541281E+001         -7.9264579484124342E-001         -1.0000000000000000E+000          1.5000000000000002E+001          1.0000000000000000E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          1.3698390564149528E+054         -1.2729744030674563E+034          0.0000000000000000E+000         -1.2729744030674563E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              25          5.4162218519624636E+004          9.9999995234902066E+000          5.7115122572879429E+001          1.1558440838354960E+002          1.7337661257532440E+002          2.3671502263045625E+001          1.9671088338816396E+001         -7.9214298758857860E-001         -1.0000000000000000E+000          1.5000000000000002E+001          1.0000000000000000E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          1.3698390432631058E+054         -1.2729744743615716E+034          0.0000000000000000E+000         -1.2729744743615716E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              30          1.3562689285694901E+005          9.9999988067781569E+000          5.7115119843872819E+001          1.1558441114490778E+002          1.7337661671736169E+002          2.3671501132002167E+001          1.9671087398915933E+001         -7.9093975098591085E-001         -1.0000000000000000E+000          1.5000000000000002E+001          1.0000000000000000E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          1.3698390105370985E+054         -1.2729746517641766E+034          0.0000000000000000E+000         -1.2729746517641766E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              35          3.3833707130399998E+005          9.9999970233688948E+000          5.7115113053229564E+001          1.1558441801605306E+002          1.7337662702407962E+002          2.3671498317603447E+001          1.9671085060142289E+001         -7.8827399900982120E-001         -1.0000000000000000E+000          1.5000000000000002E+001          1.0000000000000000E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          1.3698389291042981E+054         -1.2729750931988471E+034          0.0000000000000000E+000         -1.2729750931988471E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              40          8.4274486253736564E+005          9.9999925856739615E+000          5.7115096155926750E+001          1.1558443511367608E+002          1.7337665267051418E+002          2.3671491314474967E+001          1.9671079240521824E+001         -7.8269937922016042E-001         -1.0000000000000000E+000          1.5000000000000002E+001          1.0000000000000000E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          1.3698387264732986E+054         -1.2729761916309338E+034          0.0000000000000000E+000         -1.2729761916309338E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              45          2.0978728576191743E+006          9.9999815432564656E+000          5.7115054109972043E+001          1.1558447765812525E+002          1.7337671648718791E+002          2.3671473888426188E+001          1.9671064759423789E+001         -7.7001624116106893E-001         -1.0000000000000000E+000          1.5000000000000002E+001          1.0000000000000000E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          1.3698382222617017E+054         -1.2729789248899022E+034          0.0000000000000000E+000         -1.2729789248899022E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
